model,fp16_refusal_rate,int4_refusal_rate,p_value,significant_at_05
google/gemma-2b-it,0.2381818181818182,0.2636363636363636,0.36593677263036795,False
mistralai/Mistral-7B-Instruct-v0.2,0.1509090909090909,0.20363636363636364,0.027062626941966157,True
meta-llama/Meta-Llama-3-8B-Instruct,0.14727272727272728,0.1618181818181818,0.5592966641791135,False
